,rt_id,critic_id,review_score
0,0,643,70.0
1,0,4714,25.0
2,1,2008,75.0
3,1,5187,60.0
4,2,5593,80.0
5,2,2236,40.0
6,3,4490,100.0
7,3,4490,100.0
8,4,5143,50.0
9,4,5143,50.0
10,5,1428,86.0
11,5,6047,100.0
12,6,2121,25.0
13,6,2121,25.0
14,7,700,60.0
15,7,700,60.0
16,8,6047,100.0
17,8,5871,87.5
18,9,5126,83.0
19,9,5126,83.0
20,10,3537,30.0
21,10,3537,30.0
22,11,2867,70.0
23,11,1836,25.0
24,12,2008,75.0
25,12,5593,80.0
26,13,2640,50.0
27,13,5930,48.0
28,14,4714,62.5
29,14,2142,42.0
30,15,2998,86.0
31,15,2998,86.0
32,16,3022,33.0
33,16,3022,33.0
34,17,3025,50.0
35,17,3025,50.0
36,18,3584,60.0
37,18,3584,60.0
38,19,948,100.0
39,19,2574,100.0
40,20,6047,100.0
41,20,2578,100.0
42,21,4714,25.0
43,21,841,67.0
44,22,5978,83.0
45,22,1836,37.5
46,23,3025,50.0
47,23,3025,50.0
48,24,1226,16.0
49,24,1819,12.5
50,25,5593,90.0
51,25,3671,40.0
52,26,5952,100.0
53,26,5952,100.0
54,27,6172,75.0
55,27,1625,50.0
56,28,1625,62.5
57,28,1625,62.5
58,29,3538,40.0
59,29,3538,40.0
60,30,3311,100.0
61,30,4714,75.0
62,31,3311,50.0
63,31,1938,42.0
64,32,1865,80.0
65,32,1865,80.0
66,33,5593,80.0
67,33,5593,80.0
68,34,2665,60.0
69,34,2665,60.0
70,35,1865,70.0
71,35,5593,70.0
72,36,3829,50.0
73,36,3829,50.0
74,37,3227,50.0
75,37,3227,50.0
76,38,5017,60.0
77,38,5479,60.0
78,39,1288,60.0
79,39,5187,40.0
80,40,391,40.0
81,40,1819,50.0
82,41,3421,40.0
83,41,2574,37.5
84,42,779,70.0
85,42,5593,90.0
86,43,1985,42.0
87,43,4833,60.0
88,44,2374,75.0
89,44,4291,80.0
90,45,1985,50.0
91,45,6025,20.0
92,46,6250,60.0
93,46,5160,70.0
94,47,2043,50.0
95,47,4812,50.0
96,48,1836,62.5
97,48,1836,62.5
98,49,1865,80.0
99,49,1865,80.0
100,50,1296,42.0
101,50,293,60.0
102,51,1938,75.0
103,51,4833,80.0
104,52,5870,50.0
105,52,1625,50.0
106,53,1625,75.0
107,53,5593,80.0
108,54,3341,20.0
109,54,4714,57.99999999999999
110,55,4714,25.0
111,55,1938,50.0
112,56,5593,30.0
113,56,5593,30.0
114,57,4812,67.0
115,57,4812,67.0
116,58,6331,80.0
117,58,6331,80.0
118,59,1985,67.0
119,59,2795,50.0
120,60,3368,50.0
121,60,1836,37.5
122,61,2374,25.0
123,61,2963,40.0
124,62,391,80.0
125,62,6019,80.0
126,63,2374,83.0
127,63,4714,37.5
128,64,4868,70.0
129,64,4868,70.0
130,65,2374,83.0
131,65,1836,37.5
132,66,2043,50.0
133,66,1938,57.99999999999999
134,67,4824,100.0
135,67,5930,75.0
136,68,1938,75.0
137,68,1296,50.0
138,69,1865,90.0
139,69,1836,62.5
140,70,1543,60.0
141,70,334,67.0
142,71,841,33.0
143,71,841,33.0
144,72,1008,50.0
145,72,1008,50.0
146,73,5593,80.0
147,73,311,50.0
148,74,1865,85.0
149,74,1865,85.0
150,75,2704,60.0
151,75,2704,60.0
152,76,5593,70.0
153,76,1296,83.0
154,77,5593,70.0
155,77,5593,70.0
156,78,6297,80.0
157,78,6297,80.0
158,79,1564,40.0
159,79,1512,50.0
160,80,1625,62.5
161,80,5160,50.0
162,81,1938,57.99999999999999
163,81,5160,80.0
164,82,1296,42.0
165,82,1296,42.0
166,83,1938,91.0
167,83,5111,50.0
168,84,4682,91.0
169,84,4682,91.0
170,85,5316,87.5
171,85,5242,100.0
172,86,5320,37.5
173,86,4714,12.5
174,87,705,80.0
175,87,1865,50.0
176,88,2043,91.0
177,88,1938,50.0
178,89,4714,25.0
179,89,4714,25.0
180,90,1296,91.0
181,90,2133,20.0
182,91,1296,75.0
183,91,355,80.0
184,92,5011,62.5
185,92,3564,62.5
186,93,1699,20.0
187,93,6297,40.0
188,94,3368,87.5
189,94,3368,87.5
190,95,4714,62.5
191,95,1296,75.0
192,96,6250,40.0
193,96,6250,40.0
194,97,2043,42.0
195,97,2043,42.0
196,98,2865,43.0
197,98,2865,43.0
198,99,779,70.0
199,99,779,70.0
200,100,1625,75.0
201,100,602,70.0
202,101,2865,66.0
203,101,2865,66.0
204,102,1625,62.5
205,102,2406,12.5
206,103,706,70.0
207,103,5320,40.0
208,104,1938,57.99999999999999
209,104,5098,70.0
210,105,334,80.0
211,105,2963,80.0
212,106,841,25.0
213,106,841,25.0
214,107,5160,40.0
215,107,5160,40.0
216,108,2206,40.0
217,108,5495,60.0
218,109,5320,20.0
219,109,1564,20.0
220,110,1846,50.0
221,110,2374,67.0
222,111,5593,90.0
223,111,5593,90.0
224,112,6288,75.0
225,112,3865,50.0
226,113,3683,75.0
227,113,3683,75.0
228,114,6047,100.0
229,114,4169,30.0
230,115,1985,42.0
231,115,1985,42.0
232,116,1985,83.0
233,116,1985,83.0
234,117,498,60.0
235,117,498,60.0
236,118,498,40.0
237,118,498,40.0
238,119,2374,57.99999999999999
239,119,2374,57.99999999999999
240,120,4812,42.0
241,120,5498,62.5
242,121,2865,63.0
243,121,2834,75.0
244,122,4833,60.0
245,122,1625,75.0
246,123,703,50.0
247,123,703,50.0
248,124,2942,60.0
249,124,2942,60.0
250,125,5582,75.0
251,125,5582,75.0
252,126,3487,40.0
253,126,1296,42.0
254,127,4714,50.0
255,127,4812,91.0
256,128,5482,20.0
257,128,4228,30.0
258,129,3230,40.0
259,129,4943,60.0
260,130,1648,70.0
261,130,1648,70.0
262,131,5160,40.0
263,131,1938,42.0
264,132,5844,90.0
265,132,5844,90.0
266,133,1296,67.0
267,133,1836,75.0
268,134,3311,80.0
269,134,5710,37.5
270,135,5111,90.0
271,135,5274,75.0
272,136,5111,60.0
273,136,1110,85.0
274,137,414,50.0
275,137,3829,16.0
276,138,6019,60.0
277,138,4281,70.0
278,139,5593,90.0
279,139,5593,90.0
280,140,1219,70.0
281,140,1219,70.0
282,141,5582,100.0
283,141,5593,81.0
284,142,6047,100.0
285,142,6047,100.0
286,143,2833,80.0
287,143,6047,100.0
288,144,5593,80.0
289,144,5593,80.0
290,145,2620,30.0
291,145,743,40.0
292,146,5316,50.0
293,146,5593,60.0
294,147,1219,80.0
295,147,743,80.0
296,148,5316,62.5
297,148,5316,62.5
298,149,4451,70.0
299,149,4451,70.0
300,150,853,78.0
301,150,5593,60.0
302,151,1219,80.0
303,151,1836,51.0
304,152,703,37.5
305,152,703,37.5
306,153,6047,100.0
307,153,2605,100.0
308,154,3051,90.0
309,154,853,85.0
310,155,2605,87.5
311,155,2605,87.5
312,156,1135,75.0
313,156,1819,87.5
314,157,2574,60.0
315,157,2574,60.0
316,158,5582,100.0
317,158,5582,100.0
318,159,5593,40.0
319,159,5593,40.0
320,160,3584,100.0
321,160,3584,100.0
322,161,5582,87.5
323,161,5582,87.5
