,publisher,review_type,review_date,title,content_rating,genre,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,review_score,year,country,imdb_plot,imdb_score,imdb_count,review_negative,review_neutral,review_positive,review_compound,consensus_negative,consensus_neutral,consensus_positive,consensus_compound,score
0,Sunday Mail (Australia),Fresh,2010-02-09,Percy Jackson & the Olympians: The Lightning Thief,PG,Action & Adventure,2010-02-12,2015-11-25,119.0,20th Century Fox,Rotten,49.0,149.0,Rotten,53.0,254421.0,70.0,2010,UK,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,59.0,174198.0,0.08,0.727,0.193,0.705,0.0,0.59,0.41,0.9274,53.95
120,eFilmCritic.com,Fresh,2010-01-31,Please Give,R,Comedy,2010-04-30,2012-09-04,90.0,Sony Pictures Classics,Fresh,87.0,142.0,Fresh,64.0,11574.0,75.0,2010,USA,"In New York City, a husband and wife butt heads with the granddaughters of the elderly woman who lives in the apartment the couple owns.",66.0,10928.0,0.0,0.928,0.072,0.4767,0.0,0.885,0.115,0.5023,73.53
220,eFilmCritic.com,Fresh,2002-07-25,10,R,Comedy,1979-10-05,2014-07-24,122.0,Waner Bros.,Fresh,67.0,24.0,Rotten,53.0,14684.0,80.0,1979,USA,"A Hollywood composer goes through a mid-life crisis and becomes infatuated with a sexy, newly married woman.",61.0,14946.0,0.486,0.332,0.182,-0.8126,0.262,0.547,0.191,-0.4676,60.03
232,Future Movies UK,Fresh,1935-08-01,The 39 Steps,NR,Action & Adventure,1935-08-01,2017-01-12,80.0,Gaumont British Distributors,Fresh,96.0,51.0,Fresh,86.0,23890.0,100.0,1935,UK,"A man in London tries to help a counter-espionage Agent. But when the Agent is killed, and the man stands accused, he must go on the run to save himself and stop a spy ring which is trying to steal top secret information.",76.0,50519.0,0.0,1.0,0.0,0.0,0.0,0.95,0.05,0.0258,85.58
280,Miami Herald,Rotten,2006-03-03,The Lost City,R,Drama,2005-09-03,2017-03-23,143.0,Magnolia Pictures,Rotten,25.0,83.0,Fresh,64.0,25944.0,50.0,2005,USA,"An evil scientist plots to take over the world from his base in Africa, where he has invented a machine that can cause earthquakes.",51.0,249.0,0.199,0.709,0.092,-0.3498,0.171,0.692,0.137,-0.2263,49.41
410,Apollo Guide,Fresh,2000-01-01,Adam's Rib,NR,Classics,1949-11-18,2008-05-01,101.0,MGM Home Entertainment,Fresh,96.0,28.0,Fresh,86.0,10563.0,86.0,1949,USA,Domestic and professional tensions mount when a husband and wife work as opposing lawyers in a case involving a woman who shot her husband.,75.0,19076.0,0.0,0.872,0.128,0.3612,0.0,0.736,0.264,0.7845,84.04
423,One Guy's Opinion,Rotten,2005-06-08,The Bridge of San Luis Rey,PG,Art House & International,2005-06-10,2014-07-24,124.0,Fine Line Features,Rotten,4.0,24.0,Rotten,35.0,1935.0,25.0,2005,USA,"A rope bridge over a gorge in the Peruvian Andes snaps, sending five people plunging to their deaths. A priest sets out to find out more about the life of each of the victims.",58.0,165.0,0.199,0.801,0.0,-0.6378,0.0,0.789,0.211,0.6808,31.31
457,CinemaBlend,Rotten,2004-08-22,Criminal,R,Drama,2004-09-24,2016-04-27,87.0,Warner Bros. Pictures,Fresh,69.0,124.0,Rotten,57.0,6711.0,60.0,2004,India,"After witnessing the sudden death of a woman, who was unable to afford hospital treatment, Dr. Ajay Kumar cancels his immigration to America and instead sets out to build a hospital that ...",57.0,420.0,0.144,0.856,0.0,-0.4336,0.0,0.793,0.207,0.6652,54.12
736,AMC Filmsite,Fresh,2000-01-01,The Adventures of Robin Hood,PG,Action & Adventure,1938-05-14,2014-01-23,102.0,Warner Bros.,Fresh,100.0,48.0,Fresh,89.0,33946.0,100.0,1938,USA,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",79.0,46382.0,0.0,0.692,0.308,0.836,0.0,0.814,0.186,0.5859,90.76
762,About.com,Fresh,2006-02-17,Running Scared,R,Action & Adventure,2006-02-24,2008-10-01,121.0,New Line Cinema,Rotten,41.0,131.0,Fresh,79.0,135400.0,83.0,2006,USA,It's 1961. Two servicemen smuggle a box of military gear to USA. Leroy tries out a military camera and accidentally takes a picture of some military facilities. Army finds one of the pictures and thinks they're communist spies.,53.0,345.0,0.0,0.721,0.279,0.5859,0.115,0.814,0.07,-0.25,57.84
