,rt_id,critic_id,review_score
0,m/0814255,643,70.0
1,m/0814255,4714,25.0
2,m/0878835,2008,75.0
3,m/0878835,5187,60.0
4,m/10,5593,80.0
5,m/10,2236,40.0
6,m/1000121-39_steps,4490,100.0
8,m/10002516-lost_city,5143,50.0
9,m/10002516-lost_city,5143,50.0
10,m/1000253-adams_rib,1428,86.0
11,m/1000253-adams_rib,6047,100.0
12,m/10002635-bridge_of_san_luis_rey,2121,25.0
13,m/10002635-bridge_of_san_luis_rey,2121,25.0
14,m/10003276-criminal,700,60.0
15,m/10003276-criminal,700,60.0
16,m/1000355-adventures_of_robin_hood,6047,100.0
17,m/1000355-adventures_of_robin_hood,5871,87.5
18,m/10004288-running_scared,5126,83.0
19,m/10004288-running_scared,5126,83.0
20,m/10004504-ultraviolet,3537,30.0
22,m/10004697-eternal,2867,70.0
23,m/10004697-eternal,1836,25.0
24,m/10004925-matador,2008,75.0
25,m/10004925-matador,5593,80.0
26,m/10005178-saint_ralph,2640,50.0
27,m/10005178-saint_ralph,5930,48.0
28,m/10005403-the_baxter,4714,62.5
29,m/10005403-the_baxter,2142,42.0
30,m/10005499-oliver_twist,2998,86.0
32,m/1000560-alamo,3022,33.0
33,m/1000560-alamo,3022,33.0
34,m/10005755-g,3025,50.0
35,m/10005755-g,3025,50.0
36,m/1000581-alfie,3584,60.0
37,m/1000581-alfie,3584,60.0
38,m/1000617-aliens,948,100.0
39,m/1000617-aliens,2574,100.0
40,m/1000626-all_about_eve,6047,100.0
42,m/10006270,4714,25.0
43,m/10006270,841,67.0
44,m/10006324,5978,83.0
45,m/10006324,1836,37.5
47,m/10006343-dirty,3025,50.0
48,m/10006370-stay_alive,1226,16.0
50,m/1000640-all_of_me,5593,90.0
52,m/1000654-all_the_kings_men,5952,100.0
53,m/1000654-all_the_kings_men,5952,100.0
54,m/10006848-the_motel,6172,75.0
55,m/10006848-the_motel,1625,50.0
56,m/10006856-requiem,1625,62.5
60,m/10007598-cocaine_cowboys,3311,100.0
61,m/10007598-cocaine_cowboys,4714,75.0
62,m/10007714-situation,3311,50.0
63,m/10007714-situation,1938,42.0
64,m/10007898-slipstream,1865,80.0
65,m/10007898-slipstream,1865,80.0
66,m/10007902-delirious,5593,80.0
67,m/10007902-delirious,5593,80.0
68,m/10007916_interview,2665,60.0
69,m/10007916_interview,2665,60.0
71,m/10007947-ten,5593,70.0
74,m/10008005-moliere,3227,50.0
75,m/10008005-moliere,3227,50.0
77,m/10008587-beverly_hills_chihuahua,5479,60.0
78,m/10008601-fireflies_in_the_garden,1288,60.0
79,m/10008601-fireflies_in_the_garden,5187,40.0
80,m/10008606-eye,391,40.0
81,m/10008606-eye,1819,50.0
82,m/10008611-my_best_friends_girl,3421,40.0
83,m/10008611-my_best_friends_girl,2574,37.5
84,m/10008617-midnight_meat_train,779,70.0
85,m/10008617-midnight_meat_train,5593,90.0
86,m/10008618-return,1985,42.0
87,m/10008618-return,4833,60.0
88,m/10008621-run_fat_boy_run,2374,75.0
89,m/10008621-run_fat_boy_run,4291,80.0
90,m/10008655-whiteout,1985,50.0
91,m/10008655-whiteout,6025,20.0
93,m/10008678-wild_child,5160,70.0
94,m/10008703-rails_and_ties,2043,50.0
95,m/10008703-rails_and_ties,4812,50.0
96,m/10008744-canvas,1836,62.5
97,m/10008744-canvas,1836,62.5
100,m/10008760-what_happens_in_vegas,1296,42.0
101,m/10008760-what_happens_in_vegas,293,60.0
102,m/10008785-appaloosa,1938,75.0
103,m/10008785-appaloosa,4833,80.0
104,m/10008786-good,5870,50.0
105,m/10008786-good,1625,50.0
108,m/10008849-married_life,3341,20.0
109,m/10008849-married_life,4714,57.99999999999999
110,m/10008954-untraceable,4714,25.0
112,m/10008991-informers,5593,30.0
113,m/10008991-informers,5593,30.0
115,m/10009001-the_freshman,4812,67.0
116,m/10009029-kenny,6331,80.0
117,m/10009029-kenny,6331,80.0
118,m/10009055-rocker,1985,67.0
119,m/10009055-rocker,2795,50.0
120,m/10009063-perfect_holiday,3368,50.0
121,m/10009063-perfect_holiday,1836,37.5
122,m/10009083-land_of_the_lost,2374,25.0
123,m/10009083-land_of_the_lost,2963,40.0
125,m/10009132-rec,6019,80.0
127,m/10009138-look,4714,37.5
128,m/10009151-box,4868,70.0
129,m/10009151-box,4868,70.0
131,m/10009169-man_in_the_chair,1836,37.5
132,m/10009192-21,2043,50.0
134,m/10009212-ben_x,4824,100.0
135,m/10009212-ben_x,5930,75.0
136,m/10009225-body_of_lies,1938,75.0
137,m/10009225-body_of_lies,1296,50.0
138,m/10009244-the_grand,1865,90.0
139,m/10009244-the_grand,1836,62.5
140,m/10009253-the_hammer,1543,60.0
142,m/10009254-shutter,841,33.0
143,m/10009254-shutter,841,33.0
144,m/10009274-priest,1008,50.0
145,m/10009274-priest,1008,50.0
146,m/10009323-broken,5593,80.0
147,m/10009323-broken,311,50.0
150,m/10009355-sugar,2704,60.0
151,m/10009355-sugar,2704,60.0
152,m/10009420-quid_pro_quo,5593,70.0
153,m/10009420-quid_pro_quo,1296,83.0
154,m/10009421-red,5593,70.0
155,m/10009421-red,5593,70.0
156,m/10009460-the_road,6297,80.0
157,m/10009460-the_road,6297,80.0
158,m/10009462-g_force,1564,40.0
160,m/10009469-the_other_man,1625,62.5
161,m/10009469-the_other_man,5160,50.0
162,m/10009493-duchess,1938,57.99999999999999
163,m/10009493-duchess,5160,80.0
165,m/10009516-women,1296,42.0
166,m/10009526-public_enemies,1938,91.0
167,m/10009526-public_enemies,5111,50.0
